model,price,transmission,mileage,fuelType,age,engineSize
 Focus,54995,Manual,11000,Petrol,3,1.32
 Focus,38015,Manual,197,Diesel,4,1.14
 Focus,32000,Manual,10057,Petrol,4,1.32
 Focus,30999,Automatic,10,Petrol,1,1.14
 Focus,30359,Manual,2068,Petrol,2,1.32
 Focus,29850,Manual,534,Petrol,2,1.32
 Focus,29850,Manual,534,Petrol,2,1.32
 Focus,29850,Manual,534,Petrol,2,1.32
 Focus,29850,Manual,534,Petrol,2,1.32
 Focus,29635,Manual,1577,Petrol,2,1.32
 Focus,29495,Manual,4430,Petrol,2,1.32
 Focus,29395,Manual,2804,Petrol,2,1.32
 Focus,29395,Manual,2804,Petrol,2,1.32
 Focus,29395,Manual,2804,Petrol,2,1.32
 Focus,29395,Manual,2804,Petrol,2,1.32
 Focus,29390,Manual,7005,Petrol,3,1.32
 Focus,29350,Manual,1617,Petrol,2,1.32
 Focus,29000,Manual,350,Petrol,1,1.32
 Focus,29000,Automatic,1500,Diesel,2,1.26
 Focus,28998,Manual,2985,Petrol,1,1.32
 Focus,28975,Manual,14171,Petrol,3,1.32
 Focus,28939,Manual,601,Petrol,1,1.32
 Focus,28930,Manual,2950,Petrol,2,1.32
 Focus,28930,Manual,2950,Petrol,2,1.32
 Focus,28930,Manual,2950,Petrol,2,1.32
 Focus,28930,Manual,2950,Petrol,2,1.32
 Focus,28805,Manual,974,Petrol,2,1.32
 Focus,28805,Manual,974,Petrol,2,1.32
 Focus,28805,Manual,974,Petrol,2,1.32
 Focus,28805,Manual,974,Petrol,2,1.32
 Focus,28755,Manual,3796,Petrol,2,1.32
 Focus,28755,Manual,3796,Petrol,2,1.32
 Focus,28755,Manual,3796,Petrol,2,1.32
 Focus,28755,Manual,3796,Petrol,2,1.32
 Focus,28730,Manual,6108,Petrol,2,1.32
 Focus,28730,Manual,6108,Petrol,2,1.32
 Focus,28730,Manual,6108,Petrol,2,1.32
 Focus,28730,Manual,6108,Petrol,2,1.32
 Focus,28655,Manual,2532,Petrol,2,1.32
 Focus,28655,Manual,2532,Petrol,2,1.32
 Focus,28655,Manual,2532,Petrol,2,1.32
 Focus,28655,Manual,2532,Petrol,2,1.32
 Focus,28580,Manual,1725,Petrol,2,1.32
 Focus,28580,Manual,1494,Petrol,2,1.32
 Focus,28580,Manual,1725,Petrol,2,1.32
 Focus,28580,Manual,1494,Petrol,2,1.32
 Focus,28580,Manual,1725,Petrol,2,1.32
 Focus,28580,Manual,1494,Petrol,2,1.32
 Focus,28580,Manual,1725,Petrol,2,1.32
 Focus,28580,Manual,1494,Petrol,2,1.32
 Focus,28495,Manual,4000,Petrol,2,1.32
 Focus,28000,Manual,2714,Petrol,2,1.32
 Focus,28000,Manual,2500,Petrol,2,1.32
 Focus,27995,Manual,7725,Petrol,2,1.32
 Focus,27995,Manual,9125,Petrol,2,1.32
 Focus,27975,Manual,5000,Petrol,2,1.32
 Focus,27890,Manual,900,Petrol,2,1.32
 Focus,27845,Manual,16193,Petrol,3,1.32
 Focus,27580,Manual,7069,Petrol,2,1.32
 Focus,27500,Automatic,2477,Petrol,1,1.14
 Focus,27497,Manual,1973,Petrol,4,1.32
 Focus,27490,Manual,4127,Diesel,2,1.26
 Focus,27200,Manual,4288,Petrol,2,1.32
 Focus,27000,Manual,9737,Petrol,2,1.32
 Focus,26995,Manual,3500,Diesel,2,1.26
 Focus,26990,Manual,6701,Petrol,4,1.32
 Focus,26950,Manual,7042,Diesel,2,1.26
 Focus,26900,Manual,14929,Petrol,4,1.32
 Focus,26890,Manual,4000,Petrol,2,1.32
 Focus,26780,Manual,4763,Petrol,2,1.32
 Focus,26723,Manual,2102,Petrol,1,1.32
 Focus,26698,Manual,3498,Diesel,2,1.26
 Focus,26500,Manual,419,Petrol,2,1.32
 Focus,26499,Manual,26500,Petrol,3,1.32
 Focus,26490,Manual,2903,Petrol,2,1.32
 Focus,26299,Manual,3764,Petrol,2,1.32
 Focus,26250,Manual,3775,Petrol,2,1.32
 Focus,26230,Manual,3802,Petrol,2,1.32
 Focus,26200,Manual,10223,Diesel,2,1.26
 Focus,26030,Manual,3919,Petrol,2,1.32
 Focus,26000,Manual,4486,Petrol,2,1.32
 Focus,26000,Manual,8480,Petrol,2,1.32
 Focus,25998,Manual,13847,Petrol,3,1
 Focus,25995,Manual,13312,Diesel,2,1.26
 Focus,25990,Manual,13626,Petrol,4,1.32
 Focus,25950,Manual,25,Petrol,2,1.32
 Focus,25950,Manual,16,Petrol,2,1.32
 Focus,25799,Manual,3871,Diesel,2,1.26
 Focus,25795,Manual,1175,Petrol,2,1.32
 Focus,25700,Manual,4500,Petrol,2,1.32
 Focus,25520,Manual,6499,Petrol,2,1.32
 Focus,25500,Manual,3011,Petrol,2,1.32
 Focus,25500,Manual,6338,Petrol,2,1.32
 Focus,25500,Automatic,3155,Petrol,1,1.14
 Focus,25500,Automatic,10,Petrol,1,1.14
 Focus,25499,Manual,28066,Petrol,4,1.32
 Focus,25498,Manual,4813,Petrol,2,1.32
 Focus,25400,Manual,6074,Diesel,2,1.26
 Focus,25250,Manual,6137,Petrol,2,1.32
 Focus,25000,Manual,10008,Petrol,5,1.32
 Focus,25000,Manual,1841,Petrol,2,1.32
 Focus,24999,Manual,4900,Petrol,1,1.32
 Focus,24999,Manual,9488,Petrol,2,1.32
 Focus,24999,Manual,6746,Petrol,2,1.32
 Focus,24995,Manual,7997,Petrol,5,1.32
 Focus,24990,Manual,8455,Petrol,2,1.32
 Focus,24990,Manual,4380,Petrol,2,1.32
 Focus,24990,Manual,18000,Petrol,4,1.32
 Focus,24989,Manual,6760,Petrol,2,1.32
 Focus,24950,Manual,3881,Diesel,2,1.26
 Focus,24900,Manual,10836,Diesel,2,1.26
 Focus,24850,Manual,24200,Petrol,5,1.32
 Focus,24799,Manual,641,Petrol,1,1.14
 Focus,24290,Manual,9248,Petrol,2,1.32
 Focus,24250,Manual,5060,Petrol,2,1.32
 Focus,23999,Manual,5834,Diesel,2,1.26
 Focus,23999,Automatic,30,Diesel,1,1.14
 Focus,23997,Manual,28170,Petrol,5,1.32
 Focus,23996,Manual,50,Petrol,2,1
 Focus,23995,Manual,6102,Petrol,1,1
 Focus,23990,Automatic,6000,Petrol,2,1
 Focus,23700,Manual,12504,Diesel,2,1.26
